No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Surface terrain
1,29/02/2024,Vente,20000.0,9.0,RUE,0011,BEZOMBES,34800.0,ASPIRAN,34,13,AD,169,0,1.0,Maison,54.0,2.0,S,27.0
1,31/05/2024,Vente,239000.0,2.0,AV,0150,SIMONE VEIL,11110.0,SALLES D AUDE,11,370,AP,106,0,3.0,Dépendance,0.0,0.0,S,360.0
1,22/03/2024,Vente,1520000.0,42.0,CHE,0331,DES MIMOSAS,6530.0,PEYMEINADE,06,95,BH,13,0,3.0,Dépendance,0.0,0.0,S,718.0
1,20/03/2024,Vente,57000.0,59.0,RUE,0250,DE CAMBRAI,59540.0,CAUDRY,59,139,AT,537,0,1.0,Maison,74.0,3.0,S,136.0
1,08/03/2024,Vente,500000.0,9.0,,0290,QUEREUX DE LA METAIRIE,17140.0,LAGORD,17,200,AC,110,0,3.0,Dépendance,0.0,0.0,S,820.0
1,26/02/2024,Vente,128000.0,67.0,AV,0830,DU GENERAL GIRAUD,52100.0,SAINT-DIZIER,52,448,DE,27,0,1.0,Maison,47.0,3.0,J,513.0
1,11/04/2024,Vente,340000.0,12.0,ALL,0085,DU BOIS,37390.0,LA MEMBROLLE-SUR-CHOISILLE,37,151,AH,11,0,1.0,Maison,170.0,6.0,AG,734.0
1,17/06/2024,Vente,179200.0,5.0,RUE,8168,ROGER CONTESENNE,94400.0,VITRY-SUR-SEINE,94,81,CR,48,2,2.0,Appartement,33.0,2.0,,
1,22/03/2024,Vente,140000.0,17.0,RUE,1875,THEODORE BAUDE,97200.0,FORT DE FRANCE,972,9,AS,1248,1,3.0,Dépendance,0.0,0.0,,
1,19/04/2024,Vente,130000.0,11.0,RUE,4620,D ITALIE,13006.0,MARSEILLE 6EME,13,206,B,46,1,2.0,Appartement,24.0,1.0,,
1,16/02/2024,Vente,146664.0,1.0,RUE,0320,DU PATUREAU,16210.0,RIOUX-MARTIN,16,279,A,1286,0,1.0,Maison,115.0,5.0,S,790.0
1,23/02/2024,Vente,630000.0,32.0,AV,0169,RAYMOND GRAMAGLIA,6320.0,CAP-D AIL,06,32,AI,64,1,3.0,Dépendance,0.0,0.0,,
1,15/05/2024,Vente,144086.0,5.0,AV,1064,DE LA GAVINE,83400.0,HYERES,83,69,EP,3,1,3.0,Dépendance,0.0,0.0,,
1,30/04/2024,Vente,400000.0,2.0,RUE,0014,DE LA CROIX CAMUS,79100.0,LOUZY,79,157,ZO,317,0,2.0,Appartement,55.0,2.0,S,1250.0
13,07/03/2024,Vente,716529.0,4.0,RUE,1420,DE LA CAPSULERIE,93170.0,BAGNOLET,93,6,AE,201,0,3.0,Dépendance,0.0,0.0,S,485.0
1,04/04/2024,Vente,505000.0,127.0,BD,7115,PASTEUR,93320.0,LES PAVILLONS-SOUS-BOIS,93,57,Z,205,0,1.0,Maison,73.0,4.0,J,545.0
1,26/02/2024,Vente,321000.0,20.0,RUE,3170,DE L ESPERANCE,94000.0,CRETEIL,94,28,I,140,1,3.0,Dépendance,0.0,0.0,,
1,07/03/2024,Vente,130000.0,28.0,CHE,2446,DES GAUTHIERS,18000.0,BOURGES,18,33,AV,572,0,1.0,Maison,90.0,4.0,S,684.0
1,26/02/2024,Vente,215000.0,1.0,RUE,0520,BONNET,69100.0,VILLEURBANNE,69,266,BH,16,2,3.0,Dépendance,0.0,0.0,,
1,06/03/2024,Vente,60000.0,5.0,RUE,0102,DES FROMENTAUX,44690.0,MAISDON-SUR-SEVRE,44,88,AX,412,0,4.0,Local industriel. commercial ou assimilé,35.0,0.0,S,1000.0
1,19/03/2024,Vente,41000.0,12.0,AV,0580,DU MARECHAL TURENNE,70300.0,LUXEUIL-LES-BAINS,70,311,AX,196,2,3.0,Dépendance,0.0,0.0,,
1,24/04/2024,Vente,250000.0,22.0,RUE,0213,DU PARC,76770.0,MALAUNAY,76,402,AO,1234,0,1.0,Maison,92.0,4.0,S,396.0
1,22/04/2024,Vente,1213878.0,12.0,RUE,8175,DE REUILLY,75012.0,PARIS 12,75,112,CS,55,6,3.0,Dépendance,0.0,0.0,,
